PATIENT_ID,Signature_1,Signature_2,Signature_3,Signature_4,Signature_5
GENIE-CHOP-C1060629,0.0006708394830076431,0.0,0.0,0.006065158708521881,0.0037638689831421736
GENIE-CHOP-C1064688,0.0,0.0,0.0,0.0,0.0010888368930614062
GENIE-CHOP-C1100727,0.0012608299308059425,0.125655209306178,0.0,0.023679307618460592,0.0
GENIE-CHOP-C1142916,0.0,0.0,0.06598096923277227,0.0,0.00445943200866563
GENIE-CHOP-C1152633,2.8402418458224336e-07,0.0,0.0,0.0015846661304753666,0.0027445150452367153
GENIE-CHOP-C1173789,0.016046044337319574,0.0325726481846628,0.06073352804236543,0.021782737846534686,0.0
GENIE-CHOP-C1174281,0.0018583258956758845,0.0,0.0,0.0028254220336991756,0.01502991006123737
GENIE-CHOP-C1190886,0.0,0.03284524062229796,0.0,0.019440502962636993,0.0
GENIE-CHOP-C1191009,0.01476320536180005,0.0,0.0,0.0,0.0
GENIE-CHOP-C1191501,0.0,0.0005738251026036009,0.0,0.05570782876267424,0.023681720298237785
GENIE-CHOP-C1198758,0.0,0.001808834407883323,0.0,0.0,0.015351944686085903
GENIE-CHOP-C1198881,0.0,0.03414520062646268,0.0,0.001535412737147254,0.03605659514434782
GENIE-CHOP-C1202325,0.0,0.033530256963612164,0.0,0.0,0.03962467713569391
GENIE-CHOP-C13038,0.04050307242032537,0.16310898889261471,0.0,0.044880745166140115,0.015471335511853812
GENIE-CHOP-C136530,0.013821771929436042,0.0,0.0,0.0,0.008793405745054333
GENIE-CHOP-C2318058,0.0003023971578004822,0.0,0.0,0.001506182118482366,0.0
GENIE-CHOP-C2318550,0.0,0.0,0.0,0.0019962294299973793,0.0039174412716917704
GENIE-CHOP-C2321994,0.0,0.008059774478054884,0.0,0.0726229635725205,0.1175165596893245
GENIE-CHOP-C2357664,0.0,0.06530493382319624,0.0,0.0,0.027482949087442445
GENIE-CHOP-C2360493,0.003968410157965962,0.03384304491982029,0.0,0.0016982367910764547,0.0
GENIE-CHOP-C2381280,0.0,0.03460638416722863,0.007029562762435198,0.0,0.007529038529352606
GENIE-CHOP-C2402190,0.013416659487350801,0.0,0.0,0.0,0.03933182036098144
GENIE-CHOP-C2402436,0.0,0.0,0.0,0.0,0.00818806488926464
GENIE-CHOP-C2419533,0.0,0.033109332835474646,0.0,0.0,0.008808507018015261
GENIE-CHOP-C2439951,0.0,0.033109332835474646,0.0,0.0,0.008808507018015261
GENIE-CHOP-C2442411,0.0,0.03285302223532526,0.013131155788823973,0.0,0.019697560577435255
